"id" "log2FoldChange"
"369" "YJL122W" 2.80506481754392
"370" "YLL039C" 2.9116379291438
"371" "YKL107W" -2.3612003857935
"372" "YCL017C" 0.640956548973265
"373" "YER085C" -0.951428324303707
"374" "YMR186W" 3.200192560904
"375" "YCR065W" 1.46308509941053
"376" "YLR002C" 1.60367841563261
"377" "YOR388C" -1.06762288445502
"378" "YFL045C" 0.621550094763087
"379" "YPR091C" -1.23485141002897
"380" "YOL083W" -3.74236370191486
"381" "YLR307C-A" 0.0352440076465477
"382" "YNL020C" -2.25324321878914
"383" "YGL125W" -0.215368956234203
"384" "YKR038C" -1.22953658227408
"385" "YDL215C" -1.24617420253088
"386" "YLR354C" 0.181403221098661
"387" "YCR022C" 0.287705410672386
"388" "YFR008W" -0.0651936409682697
"389" "YDR284C" -0.179373067670727
"390" "YFL013C" -1.03020936558624
"391" "YKL051W" -3.93515596582805
"392" "YPR174C" 1.63622247328845
"393" "YMR091C" 0.256945340236546
"394" "YJL143W" 2.32095022845215
"395" "YGR057C" 2.25261619059009
"396" "YKL194C" -0.129895223233811
"397" "YLR308W" 1.68357712812158
"398" "YBR065C" -0.63504047709343
"399" "YMR029C" -1.274526479943
"400" "YHL042W" -1.56502221229692
"401" "YNL068C" -0.238164489953626
"402" "YGL157W" -2.42894966391456
"403" "YGL178W" 1.96636311951518
"404" "YMR148W" -1.17377323239248
"405" "YML058W" -3.18892751364318
"406" "YLR249W" 4.13709297330198
"407" "YGR019W" -0.602925633431193
"408" "YBR263W" 0.757681617734482
"409" "YJL049W" -3.28750987125141
"410" "YOR249C" -0.928112213002395
"411" "YBL097W" -0.532628348454091
"412" "YCR020W-B" 1.68207822386537
"413" "YPR044C" 2.63820711852442
"414" "YDR286C" -0.252569027152655
"415" "YLR342W-A" 0.525298855420141
"416" "YBL043W" 3.34813446759698
"417" "YLR018C" 0.678601186726592
"418" "YMR076C" 0.819798423186758
"419" "YOR251C" -3.24470743432188
"420" "YJR135W-A" -2.73568066391675
"421" "YOR186W" -1.060302289927
"422" "YDR083W" 1.97759587669726
"423" "YOR267C" 1.12099425191712
"424" "YLR109W" 0.757301724351775
